date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:26	51276/51276	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Sep%202025%2008:15:25%20GMT	https://www.purview-genesisgroup.com/i18nfront.js?1729251359901	/home/user/websites/aa/www.purview-genesisgroup.com/i18nfront1b7f.js	(from https://www.purview-genesisgroup.com/)
14:15:27	2021/2021	---MC-	200	added ('OK')	application/manifest+json	date:Mon,%2029%20Sep%202025%2008:15:26%20GMT	https://www.purview-genesisgroup.com/site.webmanifest	/home/user/websites/aa/www.purview-genesisgroup.com/site.webmanifest	(from https://www.purview-genesisgroup.com/)
14:15:27	70423/70423	---M-Z	200	added ('OK')	application/javascript	etag:%2211317-63527f9dcf74a-gzip%22	https://www.purview-genesisgroup.com/data/global/media/static/min/c3b51dfa00edae5532f6ca18e45f808b2d83a89f6dd0897248ab7c70c809f32d.js	/home/user/websites/aa/www.purview-genesisgroup.com/data/global/media/static/min/c3b51dfa00edae5532f6ca18e45f808b2d83a89f6dd0897248ab7c70c809f32d.js	(from https://www.purview-genesisgroup.com/)
14:15:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Sep%202025%2008:15:28%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/static/min/core.min.css	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/static/min/core.min.f.delayed	(from https://www.purview-genesisgroup.com/)
14:15:29	138979/138979	---M-Z	200	added ('OK')	text/css	etag:%2221ee3-6352ac498b78c-gzip%22	https://cdn.webware.io/static/min/core.min.css	/home/user/websites/aa/cdn.webware.io/static/min/core.min.css	(from https://www.purview-genesisgroup.com/)
14:15:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Sep%202025%2008:15:29%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/static/min/core.min.js	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/static/min/core.min.js	(from https://www.purview-genesisgroup.com/)
14:15:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Sep%202025%2008:15:31%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/global/media/css/bx_styles/bx_styles-v2.css	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/global/media/css/bx_styles/bx_styles-v2.css	(from https://www.purview-genesisgroup.com/)
14:15:33	203937/203937	---MCZ	200	added ('OK')	application/javascript	etag:%2231ca1-6352ac425aa50-gzip%22	https://cdn.webware.io/static/min/core.min.js	/home/user/websites/aa/cdn.webware.io/static/min/core.min.js	(from https://www.purview-genesisgroup.com/)
14:15:33	1082/1082	---M-Z	200	added ('OK')	text/css	etag:%2243a-63527a469558b-gzip%22	https://cdn.webware.io/data/global/media/css/bx_styles/bx_styles-v2.css	/home/user/websites/aa/cdn.webware.io/data/global/media/css/bx_styles/bx_styles-v2.css	(from https://www.purview-genesisgroup.com/)
14:15:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Sep%202025%2008:15:33%20GMT	http://d2wvwvig0d1mx7.cloudfront.net/data/global/media/js/jquery.bxslider-v2.min.js	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/global/media/js/jquery.bxslider-v2.min.js	(from https://www.purview-genesisgroup.com/)
14:15:35	19327/19327	---M-Z	200	added ('OK')	application/javascript	etag:%224b7f-63527a4916f35-gzip%22	https://cdn.webware.io/data/global/media/js/jquery.bxslider-v2.min.js	/home/user/websites/aa/cdn.webware.io/data/global/media/js/jquery.bxslider-v2.min.js	(from https://www.purview-genesisgroup.com/)
14:15:36	10808/10808	---M-Z	200	added ('OK')	text/css	etag:%222a38-63527a469b34b-gzip%22	https://d2wvwvig0d1mx7.cloudfront.net/data/global/media/css/chosen.min.css	/home/user/websites/aa/d2wvwvig0d1mx7.cloudfront.net/data/global/media/css/chosen.min.css	(from https://www.purview-genesisgroup.com/)
14:15:37	62391/62391	---MCZ	200	added ('OK')	text/css	etag:W/%2242804f448d07fe2441fb4391ee953f81%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/foundation.min.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/foundation.min.css	(from https://www.purview-genesisgroup.com/)
14:15:38	19927/19927	---MCZ	200	added ('OK')	text/css	etag:W/%22b6d3c27c2448d7a4770242dcd59ba1ff%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/foundation-icons.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/foundation-icons.css	(from https://www.purview-genesisgroup.com/)
14:15:39	6230/6230	---MCZ	200	added ('OK')	text/css	etag:W/%22917c64e66fd4d0d39a680e42e02fd693%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/skeleton.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/skeleton.css	(from https://www.purview-genesisgroup.com/)
14:15:41	3622/3622	---MC-	200	added ('OK')	text/css	date:Mon,%2029%20Sep%202025%2008:15:40%20GMT	https://fonts.googleapis.com/css2?family=IBM+Plex+Sans+Thai:wght@400;500;600;700&family=Grey+Qo&family=Poppins:ital,wght@0,400;0,500;0,600;0,700;0,800;0,900;1,400;1,500;1,600;1,700;1,800;1,900&display=swap	/home/user/websites/aa/fonts.googleapis.com/css2bedf.css	(from https://www.purview-genesisgroup.com/)
14:15:41	67782/67782	---MCZ	200	added ('OK')	text/css	etag:W/%227f53038de33b5884a62d9b9562bd24f9%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/site.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/site.css	(from https://www.purview-genesisgroup.com/)
14:15:42	2539/2539	---MCZ	200	added ('OK')	text/css	etag:W/%2228423e57f34067f8bb97b4fdf7e0f572%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/slick.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/slick.css	(from https://www.purview-genesisgroup.com/)
14:15:43	6916/6916	---MCZ	200	added ('OK')	text/css	etag:W/%22b653432b9d21f2ddb1c85dc8be5304a3%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/page-types.css	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/css/page-types.css	(from https://www.purview-genesisgroup.com/)
14:15:44	16057/16057	---M--	200	added ('OK')	image/png	etag:%22cb78bb01d974c8b1a04629c4c8c3c57f%22	http://d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/img/logo.png	/home/user/websites/aa/d14ty28lkqz1hw.cloudfront.net/data/org/23240/theme/37906/img/logo.png	(from https://www.purview-genesisgroup.com/)
14:15:46	50310/50310	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:45%20GMT	https://www.purview-genesisgroup.com/pages/real-estate-immigration-consultancy-industrial-catering	/home/user/websites/aa/www.purview-genesisgroup.com/pages/real-estate-immigration-consultancy-industrial-catering.html	(from https://www.purview-genesisgroup.com/)
14:15:47	38972/38972	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:46%20GMT	https://www.purview-genesisgroup.com/pages/real-estate-development-industrial-catering-consultancy-services	/home/user/websites/aa/www.purview-genesisgroup.com/pages/real-estate-development-industrial-catering-consultancy-services.html	(from https://www.purview-genesisgroup.com/)
14:15:48	42557/42557	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:47%20GMT	https://www.purview-genesisgroup.com/pages/purview-trade-ventures-ltd	/home/user/websites/aa/www.purview-genesisgroup.com/pages/purview-trade-ventures-ltd.html	(from https://www.purview-genesisgroup.com/)
14:15:49	43990/43990	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:48%20GMT	https://www.purview-genesisgroup.com/pages/purview-canada-inc	/home/user/websites/aa/www.purview-genesisgroup.com/pages/purview-canada-inc.html	(from https://www.purview-genesisgroup.com/)
14:15:50	42633/42633	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:49%20GMT	https://www.purview-genesisgroup.com/pages/genesis-corporation	/home/user/websites/aa/www.purview-genesisgroup.com/pages/genesis-corporation.html	(from https://www.purview-genesisgroup.com/)
14:15:51	42260/42260	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2008:15:50%20GMT	https://www.purview-genesisgroup.com/pages/lands-end-industrial-catering-support-services	/home/user/websites/aa/www.purview-genesisgroup.com/pages/lands-end-industrial-catering-support-services.html	(from https://www.purview-genesisgroup.com/)
